"","Package","Version"
"viridis","viridis","0.6.2"
"viridisLite","viridisLite","0.4.1"
"vroom","vroom","1.6.0"
"waldo","waldo","0.4.0"
"webshot","webshot","0.5.4"
"whisker","whisker","0.4"
"withr","withr","2.5.0"
"xfun","xfun","0.35"
"xml2","xml2","1.3.3"
"xopen","xopen","1.0.0"
"xtable","xtable","1.8-4"
"yaml","yaml","2.3.6"
"zip","zip","2.2.2"
"abind.1","abind","1.4-5"
"acepack","acepack","1.4.1"
"askpass.1","askpass","1.1"
"assertthat.1","assertthat","0.2.1"
"av","av","0.8.0"
"backports.1","backports","1.4.1"
"base64enc.1","base64enc","0.1-3"
"bench","bench","1.1.2"
"BH.1","BH","1.74.0-1"
"Biobase","Biobase","2.56.0"
"BiocGenerics","BiocGenerics","0.42.0"
"BiocManager","BiocManager","1.30.18"
"BiocVersion","BiocVersion","3.15.2"
"bit.1","bit","4.0.4"
"bit64.1","bit64","4.0.5"
"bitops","bitops","1.0-7"
"blob.1","blob","1.2.3"
"brew.1","brew","1.0-7"
"brio.1","brio","1.1.3"
"broom.1","broom","1.0.0"
"bslib.1","bslib","0.4.0"
"cachem.1","cachem","1.0.6"
"Cairo","Cairo","1.6-0"
"callr.1","callr","3.7.2"
"caret","caret","6.0-93"
"caTools","caTools","1.18.2"
"cba","cba","0.2-21"
"checkmate.1","checkmate","2.1.0"
"chron","chron","2.3-57"
"classInt","classInt","0.4-7"
"cli.1","cli","3.3.0"
"cliapp","cliapp","0.1.1"
"clipr.1","clipr","0.8.0"
"colorspace.1","colorspace","2.0-3"
"commonmark.1","commonmark","1.8.0"
"conquer","conquer","1.3.0"
"covr","covr","3.5.1"
"cpp11.1","cpp11","0.4.2"
"crayon.1","crayon","1.5.1"
"credentials.1","credentials","1.3.2"
"crosstalk","crosstalk","1.2.0"
"curl.1","curl","4.3.2"
"CVST","CVST","0.2-3"
"data.table.1","data.table","1.14.2"
"DBI.1","DBI","1.1.3"
"DBItest","DBItest","1.7.2"
"dbplyr.1","dbplyr","2.2.1"
"ddalpha","ddalpha","1.3.13"
"decor","decor","1.0.1"
"deldir.1","deldir","1.0-6"
"DEoptimR","DEoptimR","1.0-11"
"desc.1","desc","1.4.1"
"devtools.1","devtools","2.4.4"
"dfoptim","dfoptim","2020.10-1"
"diffobj.1","diffobj","0.3.5"
"digest.1","digest","0.6.29"
"dimRed","dimRed","0.2.6"
"doMC","doMC","1.3.8"
"doParallel","doParallel","1.0.17"
"downlit.1","downlit","0.4.2"
"dplyr.1","dplyr","1.0.9"
"DRR","DRR","0.0.4"
"DT","DT","0.24"
"dygraphs","dygraphs","1.1.1.6"
"e1071","e1071","1.7-11"
"earth","earth","5.3.1"
"ellipsis.1","ellipsis","0.3.2"
"energy","energy","1.7-10"
"evaluate.1","evaluate","0.16"
"fansi.1","fansi","1.0.3"
"farver.1","farver","2.1.1"
"fastICA","fastICA","1.2-3"
"fastmap.1","fastmap","1.1.0"
"fastmatch","fastmatch","1.1-3"
"filehash","filehash","2.4-3"
"FNN","FNN","1.1.3.1"
"fontawesome.1","fontawesome","0.3.0"
"fontBitstreamVera","fontBitstreamVera","0.1.1"
"fontLiberation","fontLiberation","0.1.0"
"fontquiver","fontquiver","0.2.1"
"foreach","foreach","1.5.2"
"formattable","formattable","0.2.1"
"Formula.1","Formula","1.2-4"
"fs.1","fs","1.5.2"
"fts","fts","0.9.9.2"
"furrr","furrr","0.3.1"
"future","future","1.27.0"
"future.apply","future.apply","1.9.0"
"gdata","gdata","2.18.0.1"
"generics.1","generics","0.1.3"
"geometry","geometry","0.4.6.1"
"geosphere","geosphere","1.5-14"
"gert.1","gert","1.7.1"
"gganimate","gganimate","1.0.7"
"ggplot2.1","ggplot2","3.3.6"
"gh","gh","1.3.0"
"gitcreds","gitcreds","0.1.1"
"globals","globals","0.16.0"
"glue.1","glue","1.6.2"
"goftest","goftest","1.2-3"
"gower","gower","1.0.0"
"gplots","gplots","3.1.3"
"gridBase","gridBase","0.4-7"
"gridExtra.1","gridExtra","2.3"
"gsl","gsl","2.1-7.1"
"gtable.1","gtable","0.3.0"
"gtools","gtools","3.9.3"
"hardhat","hardhat","1.2.0"
"here","here","1.0.1"
"hexbin","hexbin","1.28.2"
"highr.1","highr","0.9"
"Hmisc.1","Hmisc","4.7-1"
"hms.1","hms","1.1.2"
"htmlTable.1","htmlTable","2.4.1"
"htmltools.1","htmltools","0.5.3"
"htmlwidgets.1","htmlwidgets","1.5.4"
"httpuv.1","httpuv","1.6.5"
"httr.1","httr","1.4.4"
"hunspell","hunspell","3.0.1"
"igraph","igraph","1.3.4"
"ini","ini","0.3.1"
"interp.1","interp","1.1-3"
"ipred","ipred","0.9-13"
"irlba","irlba","2.3.5"
"isoband.1","isoband","0.2.5"
"iterators","iterators","1.0.14"
"jpeg.1","jpeg","0.1-9"
"jquerylib.1","jquerylib","0.1.4"
"jsonlite.1","jsonlite","1.8.0"
"kernlab","kernlab","0.9-31"
"knitr.1","knitr","1.39"
"ks","ks","1.13.5"
"labeling.1","labeling","0.4.2"
"later.1","later","1.3.0"
"latticeExtra.1","latticeExtra","0.6-30"
"lava","lava","1.6.10"
"lazyeval","lazyeval","0.2.2"
"lbfgsb3c","lbfgsb3c","2020-3.2"
"lifecycle.1","lifecycle","1.0.1"
"linprog","linprog","0.9-4"
"listenv","listenv","0.8.0"
"littler","littler","0.3.17"
"lme4","lme4","1.1-30"
"lobstr","lobstr","1.1.2"
"logcondens","logcondens","2.1.6"
"lpSolve","lpSolve","5.6.15"
"lubridate.1","lubridate","1.8.0"
"lwgeom","lwgeom","0.2-8"
"magic","magic","1.6-0"
"magick","magick","2.7.3"
"magrittr.1","magrittr","2.0.3"
"mapproj","mapproj","1.2.8"
"maps","maps","3.4.0"
"maptools","maptools","1.1-4"
"markdown.1","markdown","1.1"
"MatrixModels.1","MatrixModels","0.5-0"
"matrixStats.1","matrixStats","0.62.0"
"mclust","mclust","5.4.10"
"mda","mda","0.5-3"
"memoise.1","memoise","2.0.1"
"mets","mets","1.2.9"
"mime.1","mime","0.12"
